"CAINC1 County and MSA personal income summary: personal income, population, per capita personal income",,,,,,,,
"CAINC1 County and MSA personal income summary: personal income, population, per capita personal income",,,,,,,,
County,,,,,,,,
GeoFips,GeoName,LineCode,Description,2018,2019,2020,2021,2022
6049,"Modoc, CA",2,Population (persons) 1,8729,8768,8663,8571,8511
6049,"Modoc, CA",3,Per capita personal income (dollars) 2,43751,46410,53072,55646,56559
6051,"Mono, CA",1,Personal income (thousands of dollars),663504,726930,798867,834235,847409
6051,"Mono, CA",2,Population (persons) 1,13328,13250,13226,13261,12978
6051,"Mono, CA",3,Per capita personal income (dollars) 2,49783,54863,60401,62909,65296
6053,"Monterey, CA",1,Personal income (thousands of dollars),23001148,24421471,26398134,28333347,28189179
6053,"Monterey, CA",2,Population (persons) 1,439404,440163,438390,437249,432858
6053,"Monterey, CA",3,Per capita personal income (dollars) 2,52346,55483,60216,64799,65123
6055,"Napa, CA",1,Personal income (thousands of dollars),9657020,10184848,11260752,11907435,11665710
6055,"Napa, CA",2,Population (persons) 1,139937,139146,137485,136206,134300
6055,"Napa, CA",3,Per capita personal income (dollars) 2,69010,73195,81905,87422,86863
6057,"Nevada, CA",1,Personal income (thousands of dollars),5821249,6163728,6796594,7333293,7442705
6057,"Nevada, CA",2,Population (persons) 1,101530,101962,102249,103457,102293
6057,"Nevada, CA",3,Per capita personal income (dollars) 2,57335,60451,66471,70883,72759
6059,"Orange, CA",1,Personal income (thousands of dollars),210648610,221692307,240734263,257834298,263290135
6059,"Orange, CA",2,Population (persons) 1,3188828,3185685,3185516,3161005,3151184
6059,"Orange, CA",3,Per capita personal income (dollars) 2,66058,69590,75572,81567,83553
6061,"Placer, CA",1,Personal income (thousands of dollars),25586686,27147695,30054657,32903884,34170169
6061,"Placer, CA",2,Population (persons) 1,394841,401317,405889,412789,417772
6061,"Placer, CA",3,Per capita personal income (dollars) 2,64803,67647,74046,79711,81791
6063,"Plumas, CA",1,Personal income (thousands of dollars),926506,977680,1079139,1170312,1149201
6063,"Plumas, CA",2,Population (persons) 1,19464,19772,19749,19940,19351
6063,"Plumas, CA",3,Per capita personal income (dollars) 2,47601,49448,54643,58692,59387
6065,"Riverside, CA",1,Personal income (thousands of dollars),96994918,103614307,116939915,126261006,127195983
6065,"Riverside, CA",2,Population (persons) 1,2390121,2405570,2422847,2453178,2473902
6065,"Riverside, CA",3,Per capita personal income (dollars) 2,40582,43073,48265,51468,51415
6067,"Sacramento, CA",1,Personal income (thousands of dollars),78526608,82815002,90813891,98105641,97517936
6067,"Sacramento, CA",2,Population (persons) 1,1560721,1575602,1586465,1588106,1584169
6067,"Sacramento, CA",3,Per capita personal income (dollars) 2,50314,52561,57243,61775,61558
6069,"San Benito, CA",1,Personal income (thousands of dollars),3094215,3411723,3864377,4143744,4169135
6069,"San Benito, CA",2,Population (persons) 1,61751,63188,64521,66675,67579
6069,"San Benito, CA",3,Per capita personal income (dollars) 2,50108,53993,59893,62148,61693
6071,"San Bernardino, CA",1,Personal income (thousands of dollars),83514331,89182422,100359889,108700135,108081645
6071,"San Bernardino, CA",2,Population (persons) 1,2160049,2170992,2183239,2192882,2193656
6071,"San Bernardino, CA",3,Per capita personal income (dollars) 2,38663,41079,45968,49570,49270
6073,"San Diego, CA",1,Personal income (thousands of dollars),194949226,204586175,222600097,240216669,243506541
6073,"San Diego, CA",2,Population (persons) 1,3303463,3297959,3296045,3274954,3276208
6073,"San Diego, CA",3,Per capita personal income (dollars) 2,59014,62034,67536,73350,74326
6075,"San Francisco, CA",1,Personal income (thousands of dollars),111996017,112133213,117292346,129774521,125970097
6075,"San Francisco, CA",2,Population (persons) 1,882277,881739,870393,811253,808437
6075,"San Francisco, CA",3,Per capita personal income (dollars) 2,126940,127173,134758,159968,155819
6077,"San Joaquin, CA",1,Personal income (thousands of dollars),32261357,34952093,40056124,43999624,42979635
6077,"San Joaquin, CA",2,Population (persons) 1,762314,772611,780558,788140,793229
6077,"San Joaquin, CA",3,Per capita personal income (dollars) 2,42320,45239,51317,55827,54183
6079,"San Luis Obispo, CA",1,Personal income (thousands of dollars),15708604,16665789,17765128,19192484,19162980
6079,"San Luis Obispo, CA",2,Population (persons) 1,283176,282646,281879,279298,282013
6079,"San Luis Obispo, CA",3,Per capita personal income (dollars) 2,55473,58963,63024,68717,67951
6081,"San Mateo, CA",1,Personal income (thousands of dollars),95143957,99027638,108186874,129090019,127657596
6081,"San Mateo, CA",2,Population (persons) 1,771628,768402,762511,739060,729181
6081,"San Mateo, CA",3,Per capita personal income (dollars) 2,123303,128875,141882,174668,175070
6083,"Santa Barbara, CA",1,Personal income (thousands of dollars),26706505,27936118,30839511,33642845,33607554
6083,"Santa Barbara, CA",2,Population (persons) 1,447724,448368,448244,437434,443837
6083,"Santa Barbara, CA",3,Per capita personal income (dollars) 2,59649,62306,68801,76910,75720
6085,"Santa Clara, CA",1,Personal income (thousands of dollars),207881196,218542457,240677946,272711739,270162197
6085,"Santa Clara, CA",2,Population (persons) 1,1950712,1943313,1931026,1886595,1870945
6085,"Santa Clara, CA",3,Per capita personal income (dollars) 2,106567,112459,124637,144552,144399
6087,"Santa Cruz, CA",1,Personal income (thousands of dollars),17767743,18933052,21176826,23183258,22832350
6087,"Santa Cruz, CA",2,Population (persons) 1,274005,273196,270462,260495,264370
6087,"Santa Cruz, CA",3,Per capita personal income (dollars) 2,64845,69302,78299,88997,86365
6089,"Shasta, CA",1,Personal income (thousands of dollars),7976743,8334396,9325879,9926304,9791945
6089,"Shasta, CA",2,Population (persons) 1,181939,182196,181984,181981,180930
6089,"Shasta, CA",3,Per capita personal income (dollars) 2,43843,45744,51246,54546,54120
6091,"Sierra, CA",1,Personal income (thousands of dollars),127577,135131,145880,154098,154021
6091,"Sierra, CA",2,Population (persons) 1,3209,3238,3228,3295,3217
6091,"Sierra, CA",3,Per capita personal income (dollars) 2,39756,41733,45192,46767,47877
6093,"Siskiyou, CA",1,Personal income (thousands of dollars),1868074,1923781,2168815,2310238,2261048
6093,"Siskiyou, CA",2,Population (persons) 1,44196,44306,43991,44026,43660
6093,"Siskiyou, CA",3,Per capita personal income (dollars) 2,42268,43420,49301,52474,51788
6095,"Solano, CA",1,Personal income (thousands of dollars),21899263,23350113,25816822,26963798,26149679
6095,"Solano, CA",2,Population (persons) 1,450921,453051,452698,450350,448747
6095,"Solano, CA",3,Per capita personal income (dollars) 2,48566,51540,57029,59873,58273
6097,"Sonoma, CA",1,Personal income (thousands of dollars),30283557,32300805,35091038,38047053,37598558
6097,"Sonoma, CA",2,Population (persons) 1,495914,490867,488281,484315,482650
6097,"Sonoma, CA",3,Per capita personal income (dollars) 2,61066,65804,71866,78558,77900
6099,"Stanislaus, CA",1,Personal income (thousands of dollars),22792301,23954863,26848535,28820142,28123096
6099,"Stanislaus, CA",2,Population (persons) 1,549847,552003,553217,552851,551275
6099,"Stanislaus, CA",3,Per capita personal income (dollars) 2,41452,43396,48532,52130,51015
6101,"Sutter, CA",1,Personal income (thousands of dollars),4168235,4373169,4927076,5289376,5122683
6101,"Sutter, CA",2,Population (persons) 1,98810,99690,99464,99038,98503
6101,"Sutter, CA",3,Per capita personal income (dollars) 2,42184,43868,49536,53408,52005
6103,"Tehama, CA",1,Personal income (thousands of dollars),2512451,2653050,2947996,3121904,3087088
6103,"Tehama, CA",2,Population (persons) 1,64783,66192,65682,65380,65245
6103,"Tehama, CA",3,Per capita personal income (dollars) 2,38783,40081,44883,47750,47315
6105,"Trinity, CA",1,Personal income (thousands of dollars),482368,500196,538535,565409,573075
6105,"Trinity, CA",2,Population (persons) 1,15720,15812,16089,16061,15781
6105,"Trinity, CA",3,Per capita personal income (dollars) 2,30685,31634,33472,35204,36314
6107,"Tulare, CA",1,Personal income (thousands of dollars),17824523,18728754,21572811,23191982,22585661
6107,"Tulare, CA",2,Population (persons) 1,468208,470173,473891,476946,477544
6107,"Tulare, CA",3,Per capita personal income (dollars) 2,38070,39834,45523,48626,47295
6109,"Tuolumne, CA",1,Personal income (thousands of dollars),2411046,2534017,2749488,2930342,2879540
6109,"Tuolumne, CA",2,Population (persons) 1,55039,55176,55374,55065,54531
6109,"Tuolumne, CA",3,Per capita personal income (dollars) 2,43806,45926,49653,53216,52806
6111,"Ventura, CA",1,Personal income (thousands of dollars),50711842,53163902,57575258,62554527,63589878
6111,"Ventura, CA",2,Population (persons) 1,848290,845396,843310,839358,832605
6111,"Ventura, CA",3,Per capita personal income (dollars) 2,59781,62886,68273,74527,76375
6113,"Yolo, CA",1,Personal income (thousands of dollars),11304743,11974697,13043398,14126183,14277264
6113,"Yolo, CA",2,Population (persons) 1,217233,216829,216291,213039,222115
6113,"Yolo, CA",3,Per capita personal income (dollars) 2,52040,55226,60305,66308,64279
6115,"Yuba, CA",1,Personal income (thousands of dollars),3108945,3306694,3745504,4078703,4064114
6115,"Yuba, CA",2,Population (persons) 1,78776,80095,81994,83216,84310
6115,"Yuba, CA",3,Per capita personal income (dollars) 2,39466,41285,45680,49013,48204
,,,,,,,,
Legend/Footnotes,,,,,,,,
"1. Census Bureau midyear population estimate. BEA produced intercensal annual county population statistics for 2010 to 2019 that are tied to the Census Bureau decennial counts for 2010 and 2020. BEA developed intercensal population statistics because this data was not published when Census released county population data for 2020 through 2022, which are based on the 2020 decennial counts. BEA used the Census Bureau Das Gupta method (see https://www2.census.gov/programs-surveys/popest/technical-documentation/methodology/intercensal/2000-2010-intercensal-estimates-methodology.pdf), modified to account for an extra leap year day, to produce the intercensal population figures that will be used until Census releases its official intercensal population data.",,,,,,,,
"2. Per capita personal income was computed using Census Bureau midyear population estimates. BEA produced intercensal annual county population statistics for 2010 to 2019 that are tied to the Census Bureau decennial counts for 2010 and 2020. BEA developed intercensal population statistics because this data was not published when Census released county population data for 2020 and 2022, which are based on the 2020 decennial counts. BEA used the Census Bureau Das Gupta method (see https://www2.census.gov/programs-surveys/popest/technical-documentation/methodology/intercensal/2000-2010-intercensal-estimates-methodology.pdf), modified to account for an extra leap year day, to produce the intercensal population figures that will be used until Census releases its official intercensal population data.",,,,,,,,
"  Metropolitan Areas are defined (geographically delineated) by the Office of Management and Budget (OMB) bulletin no. 20-01 issued March 6, 2020.",,,,,,,,
Note. All dollar estimates are in thousands of current dollars (not adjusted for inflation). Statistics presented in thousands of dollars do not indicate more precision than statistics presented in millions of dollars.,,,,,,,,
"  Last updated: November 16, 2023-- new statistics for 2022; revised statistics for 1979-2021.",,,,,,,,
